"tone","language","session","id","isi","speaker","vowel_vari","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
33,"md","130_1",60,"short","ds","dv",130,1,"maa",-0.0238297473818045,-0.124929274635606,-0.0374576870596487,0.130273386724607,0.25
315,"md","130_1",61,"short","ds","dv",130,1,"mii",-0.0831076239839163,0.13392285271942,-0.0308519031246671,0.232937874299037,1
241,"md","130_1",62,"short","ds","dv",130,1,"mii",0.129588441514735,0.933146544275534,0.442804556026268,0.886563876673744,0.875
33,"md","130_1",63,"short","ds","dv",130,1,"mii",-0.361094392845113,0.0673204839934208,0.0274906752988316,0.472355744034229,0.375
241,"md","130_1",64,"short","ds","dv",130,1,"maa",0.0466754013800825,-0.25574495362153,-0.0232874145328958,0.355222250206363,0.375
21,"md","130_1",65,"short","ds","dv",130,1,"maa",0.0206437409581463,-0.20266529039359,-0.0982843662641232,0.223309031351736,0.125
45,"md","130_1",66,"short","ds","dv",130,1,"mii",-0.45602925829119,0.213864108011967,0.010658056984431,0.686872416478579,0.875
21,"md","130_1",67,"short","ds","dv",130,1,"mii",-0.0515523765790778,-0.0996138433305681,-0.0723268321066602,0.082189041450633,0.25
45,"md","130_1",68,"short","ds","dv",130,1,"maa",-0.0963545526287907,0.149676311844726,0.0376383605150843,0.288353379077829,0.75
33,"md","130_1",69,"short","ds","dv",130,1,"maa",-0.30562305302609,0.0127887026796493,-0.0216040447453938,0.331216721488565,0.375
315,"md","130_1",70,"short","ds","dv",130,1,"maa",-0.0737341788866862,0.331145722814913,0.0718598089895868,0.422901759011778,0.875
241,"md","130_1",71,"short","ds","sv",130,1,"maa",0.0563721031696429,-0.0325044010986262,0.0660592873783267,0.183125677953133,0.375
315,"md","130_1",72,"short","ds","sv",130,1,"maa",-0.109448535106149,0.266020150093444,0.0294859295594694,0.385797725360099,1
241,"md","130_1",73,"short","ds","sv",130,1,"maa",0.0260351986735729,-0.146651134679053,-0.00169960817712713,0.286276704896199,0.5
21,"md","130_1",74,"short","ds","sv",130,1,"maa",-0.00250423111534087,-0.120091072928286,-0.0720660718589461,0.11766351229929,0.125
45,"md","130_1",75,"short","ds","sv",130,1,"maa",-0.0782099297942112,0.328095675840867,0.0634453059473336,0.421151902249675,1
33,"md","130_1",76,"short","ds","sv",130,1,"maa",-0.0454494392346699,-0.103385811427253,-0.0436818083984844,0.0934845659594486,0.5
45,"md","130_1",77,"short","ds","sv",130,1,"maa",-0.0585934518377056,0.575797142001411,0.166192817523437,0.640811124862392,0.875
315,"md","130_1",78,"short","ds","sv",130,1,"maa",-0.0701530730942936,0.0666473304328362,-0.0499384449160086,0.252011906322888,0.875
21,"md","130_1",79,"short","ds","sv",130,1,"maa",-0.0326178548724693,-0.123631172104667,-0.0593674595514507,0.181666258523486,0.25
33,"md","130_1",80,"short","ds","sv",130,1,"maa",-0.00139617768058777,-0.062063944186481,-0.00888691380889567,0.0771029479552326,0.375
45,"md","130_2",1,"short","ds","sv",130,1,"maa",-0.10427759463962,0.155282256716715,0.0213765344372227,0.305854275530306,0.875
315,"md","130_2",2,"short","ds","sv",130,1,"maa",-0.0809823223326706,0.170556779255913,-0.0292967496637812,0.280320205988553,1
