Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
190,BA,i-a,33-45,F4,mii,33,2,Thai_F4_mii33-2,F4,maa,45,2,Thai_F4_maa45-2,block4b,22
191,AA,i-a,33-45,F4,mii,33,2,Thai_F4_mii33-2,F4,maa,33,2,Thai_F4_maa33-2,block4b,23
192,BB,i-a,33-45,F4,mii,45,2,Thai_F4_mii45-2,F4,maa,45,2,Thai_F4_maa45-2,block4b,24
193,AB,a-a,315-45,F2,maa,315,1,Thai_F2_maa315-1,F4,maa,45,1,Thai_F4_maa45-1,block5a,1
194,BA,a-a,315-45,F2,maa,45,1,Thai_F2_maa45-1,F4,maa,315,1,Thai_F4_maa315-1,block5a,2
195,AA,a-a,315-45,F2,maa,315,1,Thai_F2_maa315-1,F4,maa,315,1,Thai_F4_maa315-1,block5a,3
196,BB,a-a,315-45,F2,maa,45,1,Thai_F2_maa45-1,F4,maa,45,1,Thai_F4_maa45-1,block5a,4
197,AB,a-a,33-241,F2,maa,33,1,Thai_F2_maa33-1,F4,maa,241,1,Thai_F4_maa241-1,block5a,5
198,BA,a-a,33-241,F2,maa,241,1,Thai_F2_maa241-1,F4,maa,33,1,Thai_F4_maa33-1,block5a,6
199,AA,a-a,33-241,F2,maa,33,1,Thai_F2_maa33-1,F4,maa,33,1,Thai_F4_maa33-1,block5a,7
200,BB,a-a,33-241,F2,maa,241,1,Thai_F2_maa241-1,F4,maa,241,1,Thai_F4_maa241-1,block5a,8
201,AB,a-a,33-45,F2,maa,33,1,Thai_F2_maa33-1,F4,maa,45,1,Thai_F4_maa45-1,block5a,9
202,BA,a-a,33-45,F2,maa,45,1,Thai_F2_maa45-1,F4,maa,33,1,Thai_F4_maa33-1,block5a,10
203,AA,a-a,33-45,F2,maa,33,1,Thai_F2_maa33-1,F4,maa,33,1,Thai_F4_maa33-1,block5a,11
204,BB,a-a,33-45,F2,maa,45,1,Thai_F2_maa45-1,F4,maa,45,1,Thai_F4_maa45-1,block5a,12
205,AB,a-a,315-45,F2,maa,315,2,Thai_F2_maa315-2,F4,maa,45,2,Thai_F4_maa45-2,block5a,13
206,BA,a-a,315-45,F2,maa,45,2,Thai_F2_maa45-2,F4,maa,315,2,Thai_F4_maa315-2,block5a,14
207,AA,a-a,315-45,F2,maa,315,2,Thai_F2_maa315-2,F4,maa,315,2,Thai_F4_maa315-2,block5a,15
208,BB,a-a,315-45,F2,maa,45,2,Thai_F2_maa45-2,F4,maa,45,2,Thai_F4_maa45-2,block5a,16
