"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
121,"T21","M214","High",2,244.5,1,304,0.0714285714285714,28
121,"T21","M51","High",20,413.35,2,833.95,0.714285714285714,28
121,"T21","M55","High",6,368.666666666667,1.83333333333333,885.166666666667,0.214285714285714,28
121,"T241","M51","High",13,273.153846153846,5.46153846153846,551.230769230769,0.464285714285714,28
121,"T241","M55","High",15,300.4,5.33333333333333,694.2,0.535714285714286,28
121,"T315","M214","High",8,386.5,5.875,535,0.285714285714286,28
121,"T315","M35","High",20,519.4,4.75,1001,0.714285714285714,28
121,"T33","M55","High",28,291.607142857143,5.78571428571429,557.928571428571,1,28
121,"T45","M35","High",28,308.714285714286,6.21428571428571,726.75,1,28
122,"T21","M214","Low",6,964.333333333333,3.83333333333333,1210.66666666667,0.214285714285714,28
122,"T21","M51","Low",18,529.833333333333,6.61111111111111,608.333333333333,0.642857142857143,28
122,"T21","M55","Low",4,500.75,3.5,889.75,0.142857142857143,28
122,"T241","M51","Low",22,673.636363636364,5.31818181818182,844.590909090909,0.785714285714286,28
122,"T241","M55","Low",6,664.666666666667,4,888.666666666667,0.214285714285714,28
122,"T315","M214","Low",8,422.375,6.75,812.75,0.296296296296296,27
122,"T315","M35","Low",19,482.578947368421,6.11111111111111,1092.21052631579,0.703703703703704,27
122,"T33","M55","Low",28,553.571428571429,6.28571428571429,1085.92857142857,1,28
122,"T45","M35","Low",28,542.178571428571,6.32142857142857,956.25,1,28
123,"T21","M214","High",14,705.571428571429,5.71428571428571,1085.71428571429,0.5,28
123,"T21","M51","High",14,629.714285714286,2.64285714285714,1086.21428571429,0.5,28
123,"T241","M51","High",28,635.392857142857,2.67857142857143,1064.89285714286,1,28
123,"T315","M214","High",28,714.75,5.96428571428571,744.25,1,28
123,"T33","M55","High",28,699.892857142857,4.25925925925926,1072.21428571429,1,28
123,"T45","M214","High",27,656.148148148148,4.96296296296296,1221.37037037037,0.964285714285714,28
123,"T45","M35","High",1,2606,2,1355,0.0357142857142857,28
125,"T21","M51","Low",12,651.75,5.5,976.083333333333,0.428571428571429,28
125,"T21","M55","Low",16,937.8125,3.875,1002,0.571428571428571,28
125,"T241","M51","Low",28,640.964285714286,6.78571428571429,803.785714285714,1,28
125,"T315","M214","Low",15,618.866666666667,6.06666666666667,913.066666666667,0.535714285714286,28
125,"T315","M35","Low",13,735.769230769231,5.38461538461539,1237.15384615385,0.464285714285714,28
125,"T33","M51","Low",11,615.272727272727,5.36363636363636,913,0.392857142857143,28
125,"T33","M55","Low",17,499.352941176471,6.11764705882353,932.058823529412,0.607142857142857,28
125,"T45","M35","Low",27,475,6.37037037037037,783.555555555556,0.964285714285714,28
125,"T45","M55","Low",1,1132,2,1348,0.0357142857142857,28
126,"T21","M214","Low",3,882.666666666667,5,819.333333333333,0.107142857142857,28
126,"T21","M51","Low",25,1080.56,6.48,842.44,0.892857142857143,28
126,"T241","M214","Low",1,1876,6,694,0.0357142857142857,28
126,"T241","M51","Low",27,1148.96296296296,6.18518518518519,803.481481481482,0.964285714285714,28
126,"T315","M214","Low",15,1098.13333333333,5.2,971.6,0.535714285714286,28
126,"T315","M35","Low",12,984.666666666667,6.66666666666667,799.666666666667,0.428571428571429,28
126,"T315","M51","Low",1,765,7,442,0.0357142857142857,28
126,"T33","M214","Low",1,841,5,433,0.0357142857142857,28
126,"T33","M51","Low",4,948.75,5.5,1141.25,0.142857142857143,28
126,"T33","M55","Low",23,838.173913043478,5.78260869565217,841.04347826087,0.821428571428571,28
126,"T45","M35","Low",28,1004.46428571429,6.17857142857143,752.035714285714,1,28
127,"T21","M214","High",1,755,4,1255,0.0357142857142857,28
127,"T21","M51","High",12,565.083333333333,5.75,1461.5,0.428571428571429,28
127,"T21","M55","High",15,625.066666666667,4.26666666666667,1075.86666666667,0.535714285714286,28
127,"T241","M51","High",11,417.909090909091,6.63636363636364,1502.45454545455,0.392857142857143,28
127,"T241","M55","High",17,596.117647058824,6.6875,1270.94117647059,0.607142857142857,28
127,"T315","M214","High",4,499,6.5,1450,0.142857142857143,28
127,"T315","M35","High",24,508.791666666667,6.63636363636364,1242.25,0.857142857142857,28
127,"T33","M55","High",28,492.821428571429,6.67857142857143,1274.67857142857,1,28
127,"T45","M214","High",1,334,7,1579,0.0357142857142857,28
127,"T45","M35","High",27,457.111111111111,6.64,1168.55555555556,0.964285714285714,28
128,"T21","M214","High",1,1368,3,730,0.0357142857142857,28
128,"T21","M35","High",2,647.5,3,1000.5,0.0714285714285714,28
128,"T21","M51","High",7,610.428571428571,3,747.142857142857,0.25,28
128,"T21","M55","High",18,544.888888888889,2.83333333333333,436.722222222222,0.642857142857143,28
128,"T241","M35","High",1,226,2,115,0.0357142857142857,28
128,"T241","M51","High",17,550.823529411765,3.47058823529412,686,0.607142857142857,28
128,"T241","M55","High",10,554.9,3.8,852,0.357142857142857,28
128,"T315","M214","High",25,461.84,5.44,714.44,0.892857142857143,28
128,"T315","M35","High",2,374.5,5.5,787.5,0.0714285714285714,28
128,"T315","M55","High",1,493,7,726,0.0357142857142857,28
128,"T33","M55","High",28,487,4.14814814814815,581.892857142857,1,28
128,"T45","M214","High",11,619.818181818182,3.63636363636364,968,0.392857142857143,28
128,"T45","M35","High",17,641.176470588235,4.35294117647059,828.588235294118,0.607142857142857,28
130,"T21","M214","Low",15,695.133333333333,5.33333333333333,69.5333333333333,0.535714285714286,28
130,"T21","M51","Low",13,854.230769230769,5,374.230769230769,0.464285714285714,28
130,"T241","M51","Low",23,695.695652173913,5.95652173913043,13,0.821428571428571,28
130,"T241","M55","Low",5,850.8,6,6.6,0.178571428571429,28
130,"T315","M214","Low",5,685,5.8,139.6,0.178571428571429,28
130,"T315","M35","Low",23,558.04347826087,6.39130434782609,-115.695652173913,0.821428571428571,28
130,"T33","M51","Low",1,610,5,508,0.0357142857142857,28
130,"T33","M55","Low",27,599.037037037037,6.59259259259259,-99.4074074074074,0.964285714285714,28
130,"T45","M214","Low",1,1354,2,894,0.0357142857142857,28
130,"T45","M35","Low",26,630.576923076923,6.69230769230769,-140.384615384615,0.928571428571429,28
130,"T45","M51","Low",1,675,7,1099,0.0357142857142857,28
131,"T21","M214","High",1,369,2,172,0.0357142857142857,28
131,"T21","M51","High",2,313.5,3,-244,0.0714285714285714,28
131,"T21","M55","High",25,356.32,4.56,-70.68,0.892857142857143,28
131,"T241","M51","High",23,352.130434782609,4.91304347826087,-152.391304347826,0.821428571428571,28
131,"T241","M55","High",5,317.6,4.8,14.4,0.178571428571429,28
131,"T315","M214","High",15,444.6,3.2,-190.733333333333,0.535714285714286,28
131,"T315","M35","High",13,323.615384615385,4.61538461538461,-213,0.464285714285714,28
131,"T33","M51","High",2,336.5,4.5,179.5,0.0714285714285714,28
131,"T33","M55","High",26,365.384615384615,5,17.8461538461538,0.928571428571429,28
131,"T45","M214","High",1,610,1,132,0.0357142857142857,28
131,"T45","M35","High",27,366.666666666667,5.11111111111111,-36.5555555555556,0.964285714285714,28
